cve_id,published_date,cvss_score,severity,os_id
CVE-2025-0168,2025-01-01 14:15:23.590,6.3,MEDIUM,2
CVE-2025-22214,2025-01-02 04:15:06.277,4.3,MEDIUM,2
CVE-2025-0171,2025-01-02 15:15:25.550,6.3,MEDIUM,2
CVE-2025-0172,2025-01-02 16:15:09.103,6.3,MEDIUM,2
CVE-2025-0173,2025-01-02 18:15:21.630,6.3,MEDIUM,2
CVE-2025-0174,2025-01-03 01:15:08.100,6.3,MEDIUM,2
CVE-2025-0175,2025-01-03 01:15:08.263,3.5,LOW,2
CVE-2025-0176,2025-01-03 02:15:07.870,6.3,MEDIUM,2
CVE-2025-22275,2025-01-03 05:15:08.243,9.3,CRITICAL,2
CVE-2025-21609,2025-01-03 17:15:09.147,9.1,CRITICAL,2
CVE-2025-21610,2025-01-03 17:15:09.290,5.3,MEDIUM,2
CVE-2025-0195,2025-01-03 18:15:17.317,6.3,MEDIUM,2
CVE-2025-0196,2025-01-03 19:15:12.793,6.3,MEDIUM,2
CVE-2025-0197,2025-01-03 20:15:28.873,6.3,MEDIUM,2
CVE-2025-0198,2025-01-03 21:15:14.053,6.3,MEDIUM,2
CVE-2025-22376,2025-01-03 22:15:07.917,5.3,MEDIUM,2
CVE-2025-0199,2025-01-03 23:15:08.707,6.3,MEDIUM,2
CVE-2025-22383,2025-01-04 02:15:06.797,4.6,MEDIUM,2
CVE-2025-22384,2025-01-04 02:15:06.937,7.5,HIGH,2
CVE-2025-22385,2025-01-04 02:15:07.080,5.9,MEDIUM,2
CVE-2025-22386,2025-01-04 02:15:07.230,7.3,HIGH,2
CVE-2025-22387,2025-01-04 02:15:07.343,7.5,HIGH,2
CVE-2025-22388,2025-01-04 02:15:07.480,5.7,MEDIUM,2
CVE-2025-22389,2025-01-04 02:15:07.600,8.0,HIGH,2
CVE-2025-22390,2025-01-04 02:15:07.747,7.5,HIGH,2
CVE-2025-0200,2025-01-04 03:15:07.020,6.3,MEDIUM,2
CVE-2025-0201,2025-01-04 04:15:05.620,6.3,MEDIUM,2
