timestamp,src_ip,dst_ip,port,protocol,technique_id,cve_id,threat_score,os_id
2026-02-04 13:37:19.505,133.117.77.166,10.0.0.141,22,TCP,T1497.001,CVE-2025-21340,50,5
2026-01-30 13:37:19.505,134.122.53.169,10.0.0.157,80,UDP,T1059.009,CVE-2025-23849,84,2
2026-01-21 13:37:19.505,2001:41d0:33a:a00::404,10.0.0.190,3389,UDP,T1595,CVE-2025-22153,76,2
2026-02-05 13:37:19.505,116.233.83.90,10.0.0.133,22,UDP,T1562.009,CVE-2025-0391,67,2
2026-01-13 13:37:19.505,68.221.65.63,10.0.0.201,22,TCP,T1578.004,CVE-2025-21634,91,4
2026-02-11 13:37:19.505,103.247.20.83,10.0.0.118,80,TCP,T1090.002,CVE-2025-22735,93,2
2026-01-15 13:37:19.505,199.45.154.145,10.0.0.9,22,UDP,T1562.009,CVE-2025-22346,65,2
2026-02-09 13:37:19.505,216.218.206.121,10.0.0.79,22,TCP,T1155,CVE-2025-0841,51,2
2026-01-18 13:37:19.505,130.12.181.187,10.0.0.84,443,TCP,T1036.007,CVE-2025-23206,84,2
2026-02-08 13:37:19.505,80.94.92.65,10.0.0.142,443,UDP,T1138,CVE-2025-21618,74,2
2026-02-10 13:37:19.505,152.53.191.128,10.0.0.116,443,TCP,T1555.005,CVE-2025-23926,53,2
2026-01-30 13:37:19.505,64.62.156.179,10.0.0.158,443,UDP,T1558.004,CVE-2025-21622,67,2
2026-01-27 13:37:19.505,104.248.84.80,10.0.0.63,3389,TCP,T1553.003,CVE-2025-23642,86,2
2026-01-24 13:37:19.505,164.152.250.192,10.0.0.193,22,TCP,T1518.002,CVE-2025-0342,92,2
2026-01-28 13:37:19.505,34.247.185.218,10.0.0.167,80,TCP,T1558.005,CVE-2025-22752,89,2
2026-01-19 13:37:19.505,2.57.122.177,10.0.0.23,3389,UDP,T1070.002,CVE-2025-22544,95,2
2026-02-07 13:37:19.505,37.58.136.133,10.0.0.226,22,TCP,T1217,CVE-2025-23917,96,2
2026-01-28 13:37:19.505,201.124.186.150,10.0.0.58,22,TCP,T1480,CVE-2025-1020,93,2
2026-01-12 13:37:19.505,160.119.251.114,10.0.0.56,3389,TCP,T1202,CVE-2025-23844,89,2
2026-01-13 13:37:19.505,165.22.205.152,10.0.0.88,443,UDP,T1060,CVE-2025-23940,93,2
2026-01-29 13:37:19.505,170.106.163.84,10.0.0.36,443,TCP,T1547,CVE-2025-20086,93,2
2026-01-15 13:37:19.505,164.92.91.211,10.0.0.53,80,TCP,T1114.003,CVE-2025-23898,53,2
2026-01-19 13:37:19.505,182.42.93.139,10.0.0.103,22,UDP,T1589,CVE-2025-23665,86,2
2026-02-08 13:37:19.505,45.82.76.132,10.0.0.106,3389,UDP,T1587.001,CVE-2025-0788,93,2
2026-01-23 13:37:19.505,59.92.51.186,10.0.0.70,80,TCP,T1214,CVE-2025-23030,64,2
2026-01-14 13:37:19.505,212.225.145.162,10.0.0.252,443,UDP,T1080,CVE-2025-23914,57,2
2026-02-01 13:37:19.505,182.48.68.82,10.0.0.102,443,UDP,T1178,CVE-2025-21318,98,5
2026-01-21 13:37:19.505,158.158.48.108,10.0.0.47,22,TCP,T1583.008,CVE-2025-24794,94,2
2026-01-13 13:37:19.505,87.236.176.183,10.0.0.206,443,UDP,T1178,CVE-2025-22517,56,2
2026-01-21 13:37:19.505,14.241.100.20,10.0.0.206,80,TCP,T1485.001,CVE-2025-22785,62,2
2026-01-14 13:37:19.505,45.148.10.121,10.0.0.210,443,UDP,T1547.011,CVE-2025-23607,91,2
2026-01-21 13:37:19.505,162.19.243.145,10.0.0.54,22,TCP,T1003.005,CVE-2025-0335,95,2
2026-01-20 13:37:19.505,129.212.176.157,10.0.0.198,443,TCP,T1560.002,CVE-2025-0222,57,2
2026-01-29 13:37:19.505,72.5.43.160,10.0.0.211,80,UDP,T1036.005,CVE-2025-24648,77,2
2026-01-29 13:37:19.505,45.135.194.48,10.0.0.62,22,UDP,T1543,CVE-2025-23209,80,2
2026-01-16 13:37:19.505,200.118.99.170,10.0.0.136,22,TCP,T1586.003,CVE-2025-22618,79,2
2026-01-14 13:37:19.505,104.248.84.80,10.0.0.36,3389,TCP,T1483,CVE-2025-0950,65,2
2026-01-29 13:37:19.505,1.24.210.27,10.0.0.82,22,TCP,T1491.001,CVE-2025-23876,67,2
2026-01-18 13:37:19.505,201.124.186.150,10.0.0.140,80,UDP,T1588.004,CVE-2025-22549,50,2
2026-02-09 13:37:19.505,107.150.104.176,10.0.0.51,3389,UDP,T1069.003,CVE-2025-23639,72,2
2026-01-19 13:37:19.505,24.98.45.238,10.0.0.118,3389,TCP,T1123,CVE-2025-21321,75,5
2026-01-26 13:37:19.505,188.166.105.36,10.0.0.6,3389,UDP,T1610,CVE-2025-22691,65,2
2026-01-17 13:37:19.505,142.252.42.225,10.0.0.109,22,TCP,T1590.005,CVE-2025-0466,62,2
2026-01-21 13:37:19.505,64.62.197.218,10.0.0.84,443,TCP,T1021.006,CVE-2025-0948,94,2
2026-01-18 13:37:19.505,45.148.10.152,10.0.0.82,443,UDP,T1583.002,CVE-2025-0890,58,2
2026-01-19 13:37:19.505,36.64.211.93,10.0.0.192,3389,TCP,T1489,CVE-2025-23623,73,2
2026-01-21 13:37:19.505,152.42.134.107,10.0.0.77,3389,TCP,T1574.007,CVE-2025-0246,87,1
2026-02-03 13:37:19.505,80.94.92.177,10.0.0.141,3389,UDP,T1180,CVE-2025-23919,60,2
2026-01-22 13:37:19.505,45.148.10.141,10.0.0.9,80,TCP,T1568.002,CVE-2025-0800,100,2
2026-02-01 13:37:19.505,152.32.235.85,10.0.0.173,22,UDP,T1600.001,CVE-2025-24703,68,2
2026-01-16 13:37:19.505,34.227.19.103,10.0.0.10,22,TCP,T1218.005,CVE-2025-22336,70,2
2026-01-21 13:37:19.505,195.184.76.163,10.0.0.59,3389,TCP,T1011,CVE-2025-21618,51,2
2026-01-13 13:37:19.505,134.209.198.43,10.0.0.169,3389,UDP,T1110.001,CVE-2025-24696,67,2
2026-01-15 13:37:19.505,128.199.184.19,10.0.0.52,22,TCP,T1080,CVE-2025-22775,87,2
2026-01-24 13:37:19.505,194.237.70.56,10.0.0.157,443,TCP,T1563.001,CVE-2025-0144,92,2
2026-02-10 13:37:19.505,164.92.74.73,10.0.0.98,80,UDP,T1072,CVE-2025-0790,97,2
2026-02-07 13:37:19.505,150.129.20.234,10.0.0.94,443,TCP,T1071.005,CVE-2025-24677,99,2
2026-01-27 13:37:19.505,8.219.209.40,10.0.0.89,22,TCP,T1119,CVE-2025-25181,71,2
2026-02-02 13:37:19.505,8.219.209.40,10.0.0.18,443,TCP,T1602.002,CVE-2025-0498,78,2
2026-01-24 13:37:19.505,51.79.67.116,10.0.0.188,22,TCP,T1063,CVE-2025-22703,63,2
2026-02-09 13:37:19.505,176.65.139.20,10.0.0.227,443,UDP,T1543.003,CVE-2025-24901,81,2
2026-01-13 13:37:19.505,120.48.28.60,10.0.0.121,443,UDP,T1090,CVE-2025-22320,52,2
2026-02-03 13:37:19.505,20.168.7.106,10.0.0.176,3389,UDP,T1586.003,CVE-2025-22531,61,2
2026-01-18 13:37:19.506,64.62.197.240,10.0.0.86,3389,TCP,T1076,CVE-2025-24784,93,2
2026-01-23 13:37:19.506,183.6.115.88,10.0.0.55,443,UDP,T1530,CVE-2025-1016,89,2
2026-01-14 13:37:19.506,2.57.122.209,10.0.0.212,3389,TCP,T1027.001,CVE-2025-22204,55,2
2026-01-24 13:37:19.506,138.226.237.205,10.0.0.26,80,UDP,T1087.003,CVE-2025-22781,93,2
2026-01-28 13:37:19.506,118.193.63.139,10.0.0.254,22,TCP,T1027.017,CVE-2025-22590,81,2
2026-01-27 13:37:19.506,176.235.182.124,10.0.0.53,443,TCP,T1561,CVE-2025-24143,68,2
2026-01-15 13:37:19.506,45.135.194.48,10.0.0.67,22,TCP,T1588.004,CVE-2025-23582,52,2
2026-01-23 13:37:19.506,134.209.195.236,10.0.0.247,80,TCP,T1574.008,CVE-2025-20072,99,2
2026-02-02 13:37:19.506,152.42.134.107,10.0.0.101,22,TCP,T1553.002,CVE-2025-21268,84,5
2026-01-25 13:37:19.506,198.144.189.67,10.0.0.41,3389,UDP,T1117,CVE-2025-21380,59,2
2026-01-26 13:37:19.506,118.193.33.104,10.0.0.61,22,TCP,T1596.004,CVE-2025-24702,89,2
2026-01-29 13:37:19.506,89.42.231.200,10.0.0.8,22,UDP,T1053.001,CVE-2025-22508,98,2
2026-01-24 13:37:19.506,182.42.93.139,10.0.0.83,22,UDP,T1059,CVE-2025-24460,97,2
2026-01-12 13:37:19.506,47.181.107.99,10.0.0.94,22,TCP,T1098.004,CVE-2025-0809,100,2
2026-02-04 13:37:19.506,185.196.10.197,10.0.0.71,80,TCP,T1525,CVE-2025-23942,69,2
2026-02-03 13:37:19.506,206.189.105.17,10.0.0.59,443,UDP,T1121,CVE-2025-0174,73,2
2026-01-23 13:37:19.506,152.42.134.107,10.0.0.69,80,UDP,T1108,CVE-2025-22801,100,2
2026-02-02 13:37:19.506,134.209.94.235,10.0.0.122,443,TCP,T1558.004,CVE-2025-0680,52,2
2026-01-28 13:37:19.506,91.224.92.108,10.0.0.223,3389,UDP,T1552.006,CVE-2025-21641,76,4
2026-01-15 13:37:19.506,152.53.191.128,10.0.0.20,22,UDP,T1021.008,CVE-2025-0106,89,2
